Breed,Age (years),Weight (kg),Gender,Spayed/Neutered,Vaccination Status,Fever,Eating Normally,Lethargy,Vomiting,Coughing/Sneezing,Breathing Issue,Rash/Swelling,Wounds/Cuts,Hair Loss,Excessive Scratching,Red/Watery Eyes,Eye Discharge,Ear Odor,Shakes Head,Eating Less,Excessive Drinking,Abnormal Stools,Aggressive/Irritable,Avoiding Interaction,Pacing/Whining,Pain Symptoms,Food Changes,Exposure to Sick Dogs,Predicted Sickness
Shih Tzu,12,4.2,Female,Yes,Not up to date,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Ear Infection
Siberian Husky,15,39.6,Male,No,Not up to date,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Respiratory Infection
Yorkshire Terrier,0,2.4,Female,Yes,Up to date,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Arthritis
Mastiff,15,53.8,Female,Yes,Not up to date,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Gastrointestinal Infection
Shih Tzu,6,6.4,Female,Yes,Up to date,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Gastrointestinal Infection
Bulldog,12,15.1,Female,No,Up to date,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Gastrointestinal Infection
Belgian Malinois,1,35.7,Male,No,Up to date,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Respiratory Infection
Labrador Retriever,6,38.5,Female,No,Up to date,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Respiratory Infection
Belgian Malinois,8,53.0,Male,Yes,Not up to date,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Respiratory Infection
Boxer,4,59.6,Male,No,Not up to date,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Gastrointestinal Infection
Rottweiler,9,41.7,Male,Yes,Not up to date,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Skin Allergy
Saint Bernard,3,49.9,Female,Yes,Up to date,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Gastrointestinal Infection
Bulldog,6,12.3,Female,Yes,Not up to date,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Gastrointestinal Infection
Shetland Sheepdog,14,24.2,Male,Yes,Not up to date,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Ear Infection
Shetland Sheepdog,12,19.5,Male,No,Not up to date,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Heart Disease
Great Dane,15,53.4,Male,Yes,Not up to date,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Ear Infection
Saint Bernard,14,35.6,Male,Yes,Up to date,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Parvovirus
Maltese,5,4.0,Female,Yes,Not up to date,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Ear Infection
Great Pyrenees,9,52.1,Female,No,Not up to date,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Diabetes
Labrador Retriever,4,46.0,Male,Yes,Up to date,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Ear Infection
Beagle,15,11.7,Female,No,Up to date,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Respiratory Infection
Belgian Malinois,0,42.3,Female,No,Up to date,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Skin Allergy
Belgian Malinois,9,58.5,Female,Yes,Not up to date,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Gastrointestinal Infection
Irish Wolfhound,4,55.2,Female,No,Up to date,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Gastrointestinal Infection
Toy Poodle,15,3.8,Male,No,Not up to date,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Respiratory Infection
Labrador Retriever,2,40.7,Female,Yes,Up to date,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Diabetes
Staffordshire Bull Terrier,11,22.2,Male,No,Up to date,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Healthy
Leonberger,11,49.4,Male,No,Not up to date,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Kennel Cough
Cocker Spaniel,6,16.3,Female,No,Up to date,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Gastrointestinal Infection
Golden Retriever,14,53.4,Female,No,Up to date,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Kennel Cough
Corgi,11,18.6,Male,No,Not up to date,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Diabetes
Doberman Pinscher,12,30.6,Male,Yes,Not up to date,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Respiratory Infection
Border Collie,1,21.9,Male,Yes,Not up to date,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Gastrointestinal Infection
Bernese Mountain Dog,13,44.9,Female,Yes,Up to date,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Skin Allergy
Saint Bernard,5,59.2,Male,Yes,Up to date,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Gastrointestinal Infection
Yorkshire Terrier,1,6.3,Male,Yes,Up to date,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Respiratory Infection
German Shepherd,12,30.8,Female,Yes,Up to date,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Skin Allergy
Mastiff,2,47.1,Female,Yes,Up to date,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Ear Infection
Mastiff,3,42.7,Female,Yes,Up to date,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Respiratory Infection
Rottweiler,2,58.4,Male,Yes,Not up to date,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Respiratory Infection
Belgian Malinois,4,27.5,Male,No,Up to date,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Gastrointestinal Infection
Beagle,9,16.0,Female,No,Not up to date,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Gastrointestinal Infection
Chihuahua,11,2.0,Male,Yes,Not up to date,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Skin Allergy
Dachshund,10,6.0,Male,Yes,Not up to date,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Parvovirus
Tibetan Mastiff,5,48.2,Male,Yes,Not up to date,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Arthritis
Bernese Mountain Dog,9,30.2,Male,Yes,Up to date,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Gastrointestinal Infection
Bernese Mountain Dog,3,45.7,Male,No,Not up to date,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Skin Allergy
Akita,1,43.9,Male,Yes,Up to date,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Gastrointestinal Infection
Saint Bernard,8,32.4,Female,Yes,Not up to date,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Ear Infection
Labrador Retriever,11,34.3,Male,Yes,Not up to date,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Gastrointestinal Infection
Shetland Sheepdog,13,17.5,Female,No,Up to date,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Skin Allergy
Pomeranian,8,5.9,Female,Yes,Up to date,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Parvovirus
Doberman Pinscher,10,57.3,Female,No,Up to date,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Heart Disease
Tibetan Mastiff,1,29.5,Male,No,Not up to date,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Skin Allergy
German Shepherd,6,34.7,Male,Yes,Not up to date,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Skin Allergy
Australian Shepherd,5,14.4,Female,Yes,Not up to date,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Kennel Cough
Bulldog,11,23.6,Female,No,Up to date,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Gastrointestinal Infection
Golden Retriever,5,58.1,Female,Yes,Up to date,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Gastrointestinal Infection
Golden Retriever,8,53.0,Male,No,Up to date,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Respiratory Infection
Boxer,0,38.0,Female,No,Not up to date,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Respiratory Infection
Rottweiler,13,54.2,Male,No,Not up to date,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Skin Allergy
Golden Retriever,1,51.3,Male,No,Not up to date,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Gastrointestinal Infection
Great Dane,7,48.8,Male,Yes,Not up to date,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Ear Infection
Boxer,6,51.4,Female,Yes,Up to date,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Ear Infection
Bulldog,0,24.8,Male,No,Not up to date,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Skin Allergy
Border Collie,8,10.4,Female,Yes,Up to date,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Gastrointestinal Infection
Shih Tzu,6,8.0,Female,No,Up to date,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Gastrointestinal Infection
Boxer,9,35.5,Female,Yes,Not up to date,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Respiratory Infection
Border Collie,15,22.6,Female,Yes,Up to date,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Respiratory Infection
Labrador Retriever,2,59.6,Female,No,Up to date,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Arthritis
Cocker Spaniel,8,19.8,Male,Yes,Not up to date,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Skin Allergy
Beagle,0,24.1,Male,Yes,Up to date,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Skin Allergy
Pomeranian,15,5.1,Male,Yes,Not up to date,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Gastrointestinal Infection
Saint Bernard,1,50.7,Male,Yes,Not up to date,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Ear Infection
Alaskan Malamute,3,40.9,Female,Yes,Not up to date,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Respiratory Infection
Shetland Sheepdog,10,20.2,Male,Yes,Not up to date,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Gastrointestinal Infection
Belgian Malinois,7,57.7,Female,No,Up to date,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Respiratory Infection
Labrador Retriever,1,46.4,Male,No,Not up to date,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Kennel Cough
Alaskan Malamute,3,29.6,Male,No,Not up to date,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Parvovirus
Siberian Husky,9,26.9,Male,Yes,Not up to date,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Skin Allergy
Chihuahua,15,7.0,Male,Yes,Not up to date,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Ear Infection
Shetland Sheepdog,0,24.7,Male,No,Not up to date,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Parvovirus
Irish Wolfhound,3,59.9,Male,Yes,Up to date,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Gastrointestinal Infection
Staffordshire Bull Terrier,7,13.8,Male,No,Not up to date,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Parvovirus
Toy Poodle,0,5.8,Male,No,Up to date,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Gastrointestinal Infection
Australian Shepherd,2,18.7,Male,Yes,Up to date,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Diabetes
Alaskan Malamute,7,29.5,Male,No,Not up to date,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Gastrointestinal Infection
Rottweiler,7,45.1,Male,No,Not up to date,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Worm Infestation
Doberman Pinscher,0,45.8,Male,No,Up to date,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Respiratory Infection
Golden Retriever,2,55.0,Male,Yes,Up to date,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Gastrointestinal Infection
Australian Shepherd,1,13.8,Male,No,Up to date,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Gastrointestinal Infection
Boxer,8,26.4,Female,Yes,Not up to date,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Ear Infection
Alaskan Malamute,13,50.6,Female,Yes,Up to date,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Healthy
Yorkshire Terrier,7,6.5,Male,No,Up to date,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Kennel Cough
Australian Shepherd,0,21.2,Female,Yes,Not up to date,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Skin Allergy
Boxer,13,39.7,Male,Yes,Not up to date,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Ear Infection
Belgian Malinois,8,48.8,Female,Yes,Not up to date,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Skin Allergy
Boxer,2,58.3,Female,No,Not up to date,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Gastrointestinal Infection
Irish Wolfhound,2,37.9,Male,Yes,Up to date,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Arthritis
Border Collie,15,18.0,Male,No,Not up to date,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Gastrointestinal Infection
Leonberger,0,32.0,Female,Yes,Not up to date,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Ear Infection
Australian Shepherd,10,16.4,Female,Yes,Up to date,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Parvovirus
Bulldog,9,23.0,Male,No,Not up to date,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Kennel Cough
Siberian Husky,11,59.2,Male,No,Not up to date,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Gastrointestinal Infection
Bulldog,0,16.5,Male,Yes,Not up to date,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Gastrointestinal Infection
Border Collie,7,21.6,Male,Yes,Not up to date,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Skin Allergy
German Shepherd,5,47.5,Male,No,Up to date,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Skin Allergy
Alaskan Malamute,13,53.1,Male,Yes,Up to date,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Healthy
Beagle,4,14.8,Male,No,Up to date,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Kennel Cough
Labrador Retriever,14,57.2,Female,No,Up to date,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Parvovirus
Staffordshire Bull Terrier,12,11.4,Female,No,Up to date,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Gastrointestinal Infection
Border Collie,3,12.7,Female,Yes,Up to date,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Gastrointestinal Infection
Pomeranian,1,3.2,Female,Yes,Not up to date,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Respiratory Infection
Bulldog,11,16.8,Male,Yes,Not up to date,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Parvovirus
Golden Retriever,1,56.8,Female,No,Not up to date,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Ear Infection
Leonberger,10,51.4,Male,No,Not up to date,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Gastrointestinal Infection
Border Collie,2,13.3,Male,No,Not up to date,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Ear Infection
Maltese,7,3.9,Female,No,Up to date,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Respiratory Infection
Yorkshire Terrier,2,2.6,Male,No,Up to date,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Gastrointestinal Infection
Saint Bernard,2,36.1,Female,Yes,Up to date,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Respiratory Infection
Toy Poodle,0,6.7,Male,No,Not up to date,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Skin Allergy
Rottweiler,13,26.3,Female,Yes,Up to date,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Arthritis
Leonberger,10,44.4,Female,No,Not up to date,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Ear Infection
Shetland Sheepdog,5,15.4,Female,Yes,Up to date,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Ear Infection
Boxer,1,40.7,Female,Yes,Not up to date,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Respiratory Infection
Cocker Spaniel,2,21.2,Male,Yes,Not up to date,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Gastrointestinal Infection
Beagle,14,11.9,Male,Yes,Up to date,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Respiratory Infection
Labrador Retriever,12,46.6,Male,No,Not up to date,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Skin Allergy
Toy Poodle,3,6.8,Male,Yes,Up to date,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Arthritis
Golden Retriever,7,50.9,Male,Yes,Up to date,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Gastrointestinal Infection
Dachshund,6,5.8,Male,Yes,Up to date,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Skin Allergy
Golden Retriever,14,42.0,Female,Yes,Not up to date,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Gastrointestinal Infection
Alaskan Malamute,9,27.1,Male,Yes,Not up to date,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Respiratory Infection
